name,ratings,num_ratings,processor,ram,os,storage,price,org_price,Brand,num_reviews
ASUS TUF GAMING A15 Ryzen 7 Octa Core 4800H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA Ge...,4.6,8,AMD Ryzen 7 Octa Core Processor,8,64 bit Windows 11 Operating System,512,75990,92990.0,ASUS,2.0
HP Pavilion Ryzen 5 Hexa Core 5625U - (16 GB/512 GB SSD/Windows 11 Home) 15-eh2024AU Thin and Light La...,4.4,108,AMD Ryzen 5 Hexa Core Processor,16,64 bit Windows 11 Operating System,512,58990,69012.0,HP,12.0
ASUS TUF Gaming A17 with 90Whr Battery Ryzen 7 Octa Core AMD R7-4800H - (8 GB/512 GB SSD/Windows 11 Ho...,4.4,996,AMD Ryzen 7 Octa Core Processor,8,64 bit Windows 11 Operating System,512,67990,94990.0,ASUS,99.0
MSI Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) Modern 14 C11M-031IN Thin and Light Laptop,4.3,138,Intel Core i3 Processor (11th Gen),8,Windows 11 Operating System,512,34990,52990.0,MSI,24.0
Infinix Y1 Plus Neo Intel Celeron Quad Core 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) XL30 Thin and...,4.1,407,Intel Celeron Quad Core Processor (11th Gen),8,Windows 11 Operating System,256,23990,34990.0,Infinix,68.0
HP Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 11 Home) 15s- eq2182AU Thin and Light Laptop,4.3,587,AMD Ryzen 5 Hexa Core Processor,16,64 bit Windows 11 Operating System,512,49990,59109.0,HP,60.0
ASUS Vivobook Pro 15 Ryzen 7 Octa Core AMD R7-4800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/...,4.4,1584,AMD Ryzen 7 Octa Core Processor,16,64 bit Windows 11 Operating System,512,59990,82990.0,ASUS,188.0
ASUS Vivobook Go 15 (2023) Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ322WS...,4.2,274,AMD Ryzen 3 Quad Core Processor,8,Windows 11 Operating System,512,36990,50990.0,ASUS,45.0
HP Pavilion Ryzen 5 Hexa Core 5625U - (8 GB/512 GB SSD/Windows 11 Home) 14-EC1003AU Thin and Light Lap...,4.4,335,AMD Ryzen 5 Hexa Core Processor,8,64 bit Windows 11 Operating System,512,52990,61023.0,HP,42.0
APPLE 2022 MacBook AIR M2 - (8 GB/512 GB SSD/Mac OS Monterey) MLXX3HN/A,4.6,20,Apple M2 Processor,8,Mac OS Operating System,512,137990,149900.0,APPLE,2.0
MSI Alpha 15 AMD Advantage Edition Ryzen 7 Octa Core 5800H - (8 GB/512 GB SSD/Windows 11 Home/8 GB Gra...,4.5,547,AMD Ryzen 7 Octa Core Processor,8,64 bit Windows 11 Operating System,512,74990,111990.0,MSI,82.0
Infinix ZERO BOOK ULTRA Series Laptop Intel Core i9 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) ZL12...,4.3,31,Intel Core i9 Processor (12th Gen),16,Windows 11 Operating System,512,79990,129990.0,Infinix,6.0
DELL Inspiron Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) INSPIRON 3511 Thin and Light Laptop,4.2,360,Intel Core i3 Processor (11th Gen),8,64 bit Windows 11 Operating System,512,41900,56699.0,DELL,61.0
APPLE 2021 Macbook Pro M1 Pro - (16 GB/1 TB SSD/Mac OS Monterey) MKGT3HN/A,4.8,131,Apple M1 Pro Processor,16,Mac OS Operating System,1020,225090,239900.0,APPLE,14.0
ASUS TUF Gaming A15 with 90Whr Battery Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 11 Home/6 G...,4.5,260,AMD Ryzen 7 Octa Core Processor,16,64 bit Windows 11 Operating System,512,86990,107990.0,ASUS,29.0
Lenovo IdeaPad Gaming 3 Ryzen 5 Hexa Core 5600H - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home/4 GB Graph...,4.1,88,AMD Ryzen 5 Hexa Core Processor,8,64 bit Windows 11 Operating System,1020,53990,89490.0,Lenovo,11.0
ASUS TUF Gaming A15 Ryzen 5 Hexa Core AMD R5-4600H - (8 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVID...,4.4,468,AMD Ryzen 5 Hexa Core Processor,8,64 bit Windows 11 Operating System,1020,54990,75990.0,ASUS,49.0
ASUS VivoBook K15 OLED (2022) Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) K513EA-L302WS Thin ...,4.4,1611,Intel Core i3 Processor (11th Gen),8,64 bit Windows 11 Operating System,256,42990,58990.0,ASUS,262.0
DELL Inspiron Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) Inspiron 3511 Thin and Light Laptop,3.9,89,Intel Core i5 Processor (11th Gen),8,64 bit Windows 11 Operating System,512,52990,62234.0,DELL,5.0
ASUS VivoBook K15 OLED Ryzen 7 Octa Core AMD R7-5700U - (16 GB/512 GB SSD/Windows 11 Home) KM513UA-L71...,4.4,1366,AMD Ryzen 7 Octa Core Processor,16,64 bit Windows 11 Operating System,512,56990,86990.0,ASUS,166.0
Infinix Y1 Plus Neo Intel Celeron Quad Core 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) XL30 Thin and...,4.1,407,Intel Celeron Quad Core Processor (11th Gen),8,Windows 11 Operating System,256,23990,34990.0,Infinix,68.0
SAMSUNG Galaxy Book3 Core i5 Core i5 13th Gen - (8 GB/512 GB SSD/Windows 11 Home) Galaxy Book3 Thin an...,4.4,41,Intel Core i5 Processor (13th Gen),8,Windows 11 Operating System,512,69990,93990.0,SAMSUNG,8.0
Lenovo V15 Core i3 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) V15 G3 IAP Thin and Light Laptop,4.8,6,Intel Core i3 Processor (12th Gen),8,Windows 11 Operating System,512,39990,58187.0,Lenovo,0.0
Lenovo Legion Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce...,4.7,9,AMD Ryzen 7 Octa Core Processor,16,Windows 11 Operating System,512,84990,120290.0,Lenovo,0.0
Lenovo Legion 5 Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeFor...,4.1,26,AMD Ryzen 7 Octa Core Processor,16,64 bit Windows 11 Operating System,512,104990,162290.0,Lenovo,5.0
Infinix INBook Y1 Plus Intel Core i3 10th Gen - (8 GB/256 GB SSD/Windows 11 Home) XL28 Thin and Light ...,4.2,1756,Intel Core i3 Processor (10th Gen),8,64 bit Windows 11 Operating System,256,27990,44990.0,Infinix,278.0
SAMSUNG Galaxy Book Go Snapdragon 7c Gen 2 - (4 GB/128 GB EMMC Storage/Windows 11 Home) NP340XLA-KA1IN...,4.2,135,Qualcomm Snapdragon 7c Gen 2 Processor,4,Windows 11 Operating System,0,32990,47990.0,SAMSUNG,24.0
realme Book Prime Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) CloudPro002 Thin and Light Lap...,4.2,216,Intel Core i5 Processor (11th Gen),16,Windows 11 Operating System,512,54990,74999.0,realme,40.0
MSI Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) Modern 14 C11M-031IN Thin and Light Laptop,4.3,138,Intel Core i3 Processor (11th Gen),8,Windows 11 Operating System,512,34990,52990.0,MSI,24.0
HP Victus Ryzen 5 Hexa Core 5600H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX...,4.0,42,AMD Ryzen 5 Hexa Core Processor,16,Windows 11 Operating System,512,64990,80586.0,HP,7.0
HP Victus Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX...,4.5,8,AMD Ryzen 7 Octa Core Processor,16,Windows 11 Operating System,512,77990,95554.0,HP,0.0
acer Extensa (2023) Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) EX215-23 Notebook,4.6,7,AMD Ryzen 5 Quad Core Processor,8,64 bit Windows 11 Operating System,512,41990,50999.0,acer,2.0
Lenovo IdeaPad 3 Intel Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 82H801L7IN | 82H802FJIN | ...,4.3,5264,Intel Core i3 Processor (11th Gen),8,64 bit Windows 11 Operating System,512,38990,55490.0,Lenovo,485.0
HP Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 11 Home) 14s-fy1003AU Thin and Light Laptop,4.3,341,AMD Ryzen 5 Hexa Core Processor,16,64 bit Windows 11 Operating System,512,49899,62826.0,HP,26.0
SAMSUNG Galaxy Book3 Core i7 Core i7 13th Gen - (16 GB/512 GB SSD/Windows 11 Home) Galaxy Book3 Thin a...,4.4,27,Intel Core i7 Processor (13th Gen),16,Windows 11 Operating System,512,84990,112990.0,SAMSUNG,5.0
Lenovo IdeaPad 5 Intel Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) IdeaPad 5 15ITL05 Thin an...,4.4,62,Intel Core i5 Processor (11th Gen),16,64 bit Windows 11 Operating System,512,59990,90490.0,Lenovo,5.0
ASUS Vivobook Go 15 OLED (2023) Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-LK...,4.3,48,AMD Ryzen 3 Quad Core Processor,8,Windows 11 Operating System,512,44990,61990.0,ASUS,7.0
Lenovo IdeaPad 3 Intel Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) 15IAU7 Thin and Light Lap...,4.2,159,Intel Core i5 Processor (12th Gen),16,64 bit Windows 11 Operating System,512,58700,82490.0,Lenovo,15.0
ASUS Vivobook 15 Core i3 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) X515EA-EJ342WS Thin and Light L...,4.2,2141,Intel Core i3 Processor (11th Gen),16,Windows 11 Operating System,512,38990,49990.0,ASUS,205.0
RedmiBook Pro Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) Thin and Light Laptop,4.1,5623,Intel Core i5 Processor (11th Gen),8,Windows 11 Operating System,512,37990,59999.0,RedmiBook,630.0
HP 15s Intel Core i3 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq5007TU Thin and Light Laptop,4.2,579,Intel Core i3 Processor (12th Gen),8,64 bit Windows 11 Operating System,512,41990,56261.0,HP,65.0
acer Aspire 3 Pentium Quad Core - (4 GB/256 GB SSD/Windows 11 Home) A314-35 Thin and Light Laptop,3.7,13,Intel Pentium Quad Core Processor,4,Windows 11 Operating System,256,19990,37990.0,acer,1.0
MSI Bravo 15 Ryzen 5 Hexa Core AMD R5-5600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/AMD Radeo...,4.4,2909,AMD Ryzen 5 Hexa Core Processor,8,64 bit Windows 11 Operating System,512,49990,72990.0,MSI,383.0
